start,shutdown
,23/01/2021-04:31:41
23/01/2021-13:02:55,24/01/2021-03:54:24
24/01/2021-11:50:11,24/01/2021-22:47:10
25/01/2021-00:28:20,25/01/2021-04:07:11
25/01/2021-08:18:44,25/01/2021-10:11:49
25/01/2021-15:02:35,26/01/2021-05:16:04
26/01/2021-22:44:51,27/01/2021-04:47:30
27/01/2021-10:07:01,28/01/2021-02:48:15
28/01/2021-10:42:50,29/01/2021-02:25:47
29/01/2021-13:59:25,30/01/2021-04:38:34
30/01/2021-13:55:28,31/01/2021-03:15:16
31/01/2021-13:01:31,01/02/2021-03:11:00
01/02/2021-11:41:57,02/02/2021-02:52:46
02/02/2021-12:26:24,03/02/2021-03:29:40
03/02/2021-13:01:33,04/02/2021-02:44:43
04/02/2021-07:20:07,04/02/2021-12:12:58
04/02/2021-17:08:57,05/02/2021-04:56:32
05/02/2021-13:59:04,06/02/2021-04:01:05
06/02/2021-14:01:22,07/02/2021-04:13:17
07/02/2021-12:55:27,08/02/2021-03:41:29
08/02/2021-09:39:16,09/02/2021-05:17:08
09/02/2021-14:39:49,10/02/2021-05:04:43
10/02/2021-14:08:13,11/02/2021-05:10:10
11/02/2021-14:33:26,12/02/2021-05:20:30
12/02/2021-12:50:31,13/02/2021-05:07:04
13/02/2021-13:54:11,13/02/2021-20:11:01
13/02/2021-20:12:11,14/02/2021-05:06:45
14/02/2021-14:21:39,15/02/2021-04:26:40
15/02/2021-14:30:37,16/02/2021-04:47:32
16/02/2021-12:19:22,17/02/2021-05:23:44
17/02/2021-07:13:15,17/02/2021-15:18:26
17/02/2021-19:36:58,18/02/2021-05:19:04
18/02/2021-13:35:21,19/02/2021-05:59:55
19/02/2021-15:20:24,20/02/2021-04:35:18
20/02/2021-14:35:30,20/02/2021-19:02:13
20/02/2021-19:03:20,21/02/2021-05:18:34
21/02/2021-13:46:57,22/02/2021-04:41:02
22/02/2021-14:15:54,23/02/2021-05:37:57
23/02/2021-14:16:57,24/02/2021-05:03:47
24/02/2021-13:02:14,25/02/2021-04:45:58
25/02/2021-14:33:01,26/02/2021-04:30:14
26/02/2021-12:28:57,27/02/2021-04:24:00
27/02/2021-13:42:34,28/02/2021-04:36:48
28/02/2021-13:36:48,01/03/2021-04:28:06
01/03/2021-11:41:04,02/03/2021-03:41:10
02/03/2021-11:23:08,03/03/2021-03:49:04
03/03/2021-11:23:19,04/03/2021-03:59:58
04/03/2021-13:41:07,05/03/2021-04:13:56
05/03/2021-11:23:52,06/03/2021-04:17:45
06/03/2021-12:48:08,07/03/2021-03:31:46
07/03/2021-13:40:07,08/03/2021-03:48:57
08/03/2021-12:00:50,09/03/2021-03:15:51
09/03/2021-11:11:09,10/03/2021-02:28:20
10/03/2021-11:05:38,11/03/2021-02:44:30
11/03/2021-11:28:49,12/03/2021-02:41:19
12/03/2021-09:54:33,13/03/2021-02:16:30
13/03/2021-06:05:12,13/03/2021-08:24:54
13/03/2021-16:09:18,14/03/2021-01:57:36
14/03/2021-10:28:41,15/03/2021-01:01:13
15/03/2021-09:40:09,16/03/2021-00:54:56
16/03/2021-09:58:00,17/03/2021-00:32:50
17/03/2021-09:24:20,18/03/2021-00:37:53
18/03/2021-09:08:27,19/03/2021-00:40:15
19/03/2021-09:20:07,19/03/2021-23:59:17
20/03/2021-09:31:39,21/03/2021-00:33:04
21/03/2021-08:20:59,21/03/2021-23:58:28
22/03/2021-07:59:21,23/03/2021-01:22:19
23/03/2021-08:29:08,24/03/2021-00:37:04
24/03/2021-10:50:43,25/03/2021-00:56:51
25/03/2021-08:19:26,26/03/2021-00:59:38
26/03/2021-08:50:04,27/03/2021-00:06:07
27/03/2021-08:13:25,28/03/2021-00:53:27
28/03/2021-08:46:56,28/03/2021-16:10:22
28/03/2021-17:47:13,29/03/2021-01:32:54
29/03/2021-09:23:37,29/03/2021-22:02:14
29/03/2021-22:03:29,30/03/2021-00:49:22
30/03/2021-09:29:52,31/03/2021-00:36:13
31/03/2021-08:49:29,01/04/2021-00:53:51
01/04/2021-08:42:00